Context,Utterance,Label
"i think we could import the old comments via rsync, but from there we need to go via email. I think it is easier than caching the status on each bug and than import bits here and there __eou__ __eot__ it would be very easy to keep a hash db of message-ids  __eou__ sounds good __eou__ __eot__ ok __eou__ perhaps we can ship an ad-hoc apt_prefereces __eou__ __eot__ version? __eou__ __eot__ thanks __eou__ __eot__ not yet __eou__ it is covered by your insurance? __eou__ __eot__ yes __eou__ but it's really not the right time :/ __eou__ with a changing house upcoming in 3 weeks __eou__ __eot__ you will be moving into your house soon? __eou__ posted a message recently which explains what to do if the autoconfiguration does not do what you expect __eou__ __eot__ how urgent is #896? __eou__ __eot__ not particularly urgent, but a policy violation __eou__ __eot__ i agree that we should kill the -novtswitch __eou__ __eot__ ok __eou__ __eot__ would you consider a package split a feature? __eou__ __eot__ context? __eou__ __eot__ splitting xfonts* out of xfree86*. one upload for the rest of the life and that's it __eou__ __eot__ splitting the source package you mean? __eou__ __eot__ yes. same binary packages. __eou__ __eot__ I would prefer to avoid it at this stage.  this is something that has gone into XSF svn, I assume? __eou__ __eot__ ",basically each xfree86 upload will NOT force users to upgrade 100Mb of fonts for nothing __eou__ no something i did in my spare time. __eou__,1
"I'm not suggesting all - only the ones you modify. __eou__ __eot__ ok, it sounds like you're agreeing with me, then __eou__ though rather than ""the ones we modify"", my idea is ""the ones we need to merge"" __eou__ __eot__ ",sorry __eou__ i thought it was ubuntu related. __eou__,0
"afternoon all __eou__ not entirely related to warty, but if grub-install takes 5 minutes to install, is this a sign that i should just retry the install :) __eou__ __eot__ here  __eou__ __eot__ you might want to know that thinice in warty is buggy compared to that in sid __eou__ __eot__ and apparently GNOME is suddently almost perfect (out of the thinice problem), nobody report bugs :-P __eou__ I don't get your question, where do you want to paste ? __eou__ __eot__ can i file the panel not linking to eds? :) __eou__ __eot__ are you using alt ? or the windows key ? __eou__ wait for the gnome-themes, component will be added __eou__ __eot__ i just restarted X and now nautilus won't show the desktop :( __eou__ hal isn't starting :( __eou__ __eot__ do you think we have any interest to have hal support turned on in gnome-vfs at this point ? It increases the sources of problems for no real benefit imho ... __eou__ __eot__ is it a known bug that g-s-t doesn't know what distribution its running on? __eou__ are there any changes to desktop-file-utils you've got hidden away? __eou__ __eot__ somebody should really kick that guy *hard* __eou__ I've added a build-dep on libxt-dev in warty for zenity __eou__ __eot__ arse. xt-dev? i added libx11-dev __eou__ so just libxt-dev or libxt and libx11? __eou__ for future note, the xmodmap line in that X sticky-super fixes the problem for me __eou__ __eot__ ","Yep. __eou__ oh, okay. I wondered what happened to you __eou__ what distro do you need? __eou__ yes __eou__",0
"interesting __eou__ grub-install worked with / being ext3, failed when it was xfs __eou__ i thought d-i installed the relevant kernel for your machine. i have a p4 and its installed the 386 kernel __eou__ holy crap a lot of stuff gets installed by default :) __eou__ YOU ARE INSTALLING VIM ON A BOX OF MINE __eou__ ;) __eou__ __eot__ more like osx than debian ;) __eou__ we have a selection of python modules available for great justice (and python development) __eou__ __eot__ 2.8 is fixing them iirc __eou__ __eot__ pong __eou__ vino will be in __eou__ enjoying ubuntu? __eou__ __eot__ told me to come here __eou__ suggested thursday as a good day to come __eou__ __eot__ we froze versions a while back :) __eou__ you coming today or thursday? __eou__ we're considering shifting it __eou__ yay __eou__ enjoying ubuntu? __eou__ usplash! __eou__ __eot__ ",thats the one __eou__,1
"and because Python gives Mark a woody __eou__ __eot__ i'm not sure if we're meant to talk about that publically yet. __eou__ __eot__ and I thought we were a ""pants off"" kind of company ... :p __eou__ you need new glasses __eou__ __eot__ mono 1.0? dude, that's going to be a barrel of laughs for totally non-release related reasons during hoary __eou__ read bryan clark's entry about NetworkManager? __eou__ __eot__ there was an accompanying IRC conversation to that one <g> __eou__ explain ? __eou__ I guess you could ship the new png in the debian/ directory and copy them over in your rules __eou__ __eot__ but debian/ is also part of diff.gz... __eou__ you can fix this for the common people, dude! multiple tarballs in source! __eou__ __eot__ NOTWARTY, HTH, HAND, KTHXBYE <g> __eou__ everyone else had their macs stolen, so can't really comment __eou__ that picture of you is a classic __eou__ __eot__ which? __eou__ the best feature of the new imac is that the old imacs are going to be cheaper! __eou__ ooh, can you add that to the wiki? __eou__ __eot__ k. __eou__ you getting two-weeks-to-release edginess? __eou__ http://descent.netsplit.com/~scott/kids.mp3 -- but for releases __eou__ I played with an x300 about the time I bought my new laptop, it didn't feel solid at all __eou__ __eot__ which series is yours again? __eou__ nc8000? __eou__ mmm __eou__ __eot__ you have my sympathy __eou__ I'm trying to *find* the definition I wrote __eou__ __eot__ it'd be on Glossary __eou__ i know i wrote one there __eou__ __eot__ I'm trying to find the one with mdz's l33t dot madness __eou__ that would be a pretty good look for you :p __eou__ bandwidth bills? __eou__ __eot__ i'm reverting the wifi change; i don't think the bars are the right thing, but they're better than the current one. __eou__ ooh, that'd be rad __eou__ __eot__ not about waiting?  clearly you haven't tried to read a site that's just made slashdot? __eou__ __eot__ ",(i thought someone was going to make a joke about .au bandwidth...) __eou__ especially not if you're using screen ;) __eou__,1
"OOo should be there and installed by default, yes __eou__ use UNKNOWN in cases where a bug component doesn't exist __eou__ uh? every British keyboard I've used is pc105 __eou__ __eot__ for me, orinoco_cs is loaded my the pcmcia layer __eou__ __eot__ oh, you mean all of this is just plugdev? __eou__ __eot__ the plugdev group and all admin tools expecting sudo to work are the first two major issues i can see __eou__ __eot__ sourcing the bash completion script slows down starting a shell by a good second for me :( __eou__ __eot__ there is that :/ __eou__ __eot__ interestingly, though, ntpdate runs before pcmcia __eou__ __eot__ urgh :) __eou__ __eot__ oh, this is the ""we must install exactly the same set of packages on every system!"" thing __eou__ I keep meaning to jump up and down on mdz and jdub's heads until they relent in the case of pcmcia-cs :) __eou__ __eot__ ",'unrar' __eou__ `apt-cache show unrar` __eou__,0
"edd will turn up here soon too, btw __eou__ __eot__ should we rename this chan #gnome-hackers ? :) __eou__ around ? __eou__ what's going on about desktop files ? __eou__ around ? __eou__ directly ? __eou__ __eot__ ross is here __eou__ __eot__ ","you need to go out of the sleepy mode dude __eou__ gnomedb should be 1.1.x since it's a GNOME part, right ? __eou__",1
"the X keyboard layout debconf thing should give gb as an example for england as i can never remember what the code is __eou__ __eot__ that's going to die MUAHAHAHAHAHAHAHAHAHAHAHAHAHA!*cough*splutter* __eou__ __eot__ so, what is HCT? __eou__ __eot__ the Hypothetical Changeset Tool; I'll explain it after lunch if you want __eou__ __eot__  and this is why i turn on skip break __eou__ __eot__ ",just rm __eou__ no __eou__,0
"and because Python gives Mark a woody __eou__ __eot__ I thought it gave him a warty __eou__ __eot__ watch out, it probably makes all your files writable or something __eou__ warty base ... has that not been set with priorities? __eou__ __eot__ debootstrap __eou__ do you think we need ACPI fan module support in d-i? __eou__ certainly some nCipher people are a bit worried about the whole thing ... __eou__ __eot__ yeah, we've been making far too many ""feature"" changes too close to the release __eou__ __eot__ AIUI we've fixed the really broken bits __eou__ __eot__ they end up getting *used* for things __eou__ __eot__ whoa, that's a stupid idea __eou__ __eot__ huh?  it uses it by default? __eou__ __eot__ ",you on wireless?.. __eou__,0
"thanks a lot! __eou__ __eot__ you're welcome __eou__ __eot__ hm, I'm still seeing the gnome ""/dev/pmu permission"" thing, wasn't it supposed to be fixed a while back? __eou__ __eot__ no, the bug's still open I'm afraid __eou__ __eot__ ah, dang __eou__ oooh __eou__ __eot__ it's not just locking, visudo validates the file __eou__ changing the gnome-session splash screen is tediously hard __eou__ nothing that involves gconf-editor can possibly be described as easy __eou__ __eot__ ",are you forgetting the . ?? __eou__,0
"do you know about this problem ? __eou__ __eot__ no __eou__ __eot__ we should have a http entry in the defaut sources.list ? __eou__ trashapplet doesn't work at all for you ?  __eou__ could you add ~/Documents and ~/.Trash to the default skel ? __eou__ __eot__ are we going to merge gdm 2.6.0.4-1 from Debian? __eou__ I need some of the adjustments it made to LANG handling __eou__ (I'm happy to merge just that one change though, and can do that now) __eou__ __eot__ hum __eou__  the debian d-i business card (rc1) for ppc is known to have some problems in the base packages ? __eou__ oups :p __eou__ __eot__ what's your failure? __eou__ scroll up __eou__ there's another approach __eou__ after ""loading installer components from CD"" and before the base installation, edit /var/lib/dpkg/info/base-installer.postinst __eou__ look for ""linux-image"", and you'll find two lines like this __eou__ change them to this: __eou__ cron error from processall __eou__ ok, that's now bug #270528; #270465 ""never existed"". __eou__ __eot__ working daily ? :) __eou__ __eot__ dunno yet __eou__ __eot__ ",unset LANGUAGE && LANG=en_GB.UTF-8 gnome-terminal ? __eou__ LANGUAGE is read before LANG IIRC __eou__,1
"hum, just mail me if you want __eou__ I'll follow the mail on the internal list __eou__ yes __eou__ __eot__ gnome-settings-daemon is working! __eou__ __eot__ Kamion has fixed it __eou__ __eot__ everything still has .menu files, right? so installing the menu package and some hackery can get the Debian menu back? __eou__ __eot__ no, we need a gnome-panel code change for this __eou__ __eot__ ah, suck __eou__ __eot__ the issue is ""we should add .desktop file for the apps which need it"" __eou__ __eot__ = all packages providng user-runnable programs? __eou__ __eot__ that's a sensible question. We don't want to reacreate the mess of the debian menu ... __eou__ so not easy to know which app has its place in the menu or not :) __eou__ __eot__ hehe, right __eou__ can we just get debian to include the desktop files and then get menu items for free in ubuntu? __eou__ __eot__ that's the plan __eou__ that's not a bug, new gnomevfs conflicts with old panel __eou__ __eot__ ",hm __eou__,1
"? __eou__ in fact jdub said him that today was a good day to come __eou__ __eot__ k __eou__ the entire menu? nice :D __eou__ __eot__ that's a sub-menu of Applications dude :) __eou__ __eot__ heh, if I didn't have enough with gtk and nautilus for ""big uploads I need to do"", I just did abiword to complete the set :) __eou__ yeah, still :) __eou__ __eot__ yes, I've seen that __eou__ but I've not seen the nautilus one __eou__ do you need some help for the uploads ? __eou__ __eot__ I guess I can manage, but if I haven't done them by tomorrow at 17:00 I guess you could do one of gtk or nautilus __eou__ __eot__ ok, just let me know __eou__ __eot__ what's wrong with the suspend bit? __eou__ __eot__ what ? __eou__ do you know how to apply a patch to openoffice package in a proper way ? :) __eou__ __eot__ I'm leaving this stupid place in 1 minute __eou__ or #debian-oo __eou__ __eot__ ",ok __eou__ we don't have any GNOME soft good for this __eou__,1
"not too long then __eou__ check if my house is on fire on the way through -- it's by the trainline on the way out __eou__ __eot__ we need depends in init scripts :p __eou__ __eot__ bonjour, a va? __eou__ __eot__ trs bien merci :) Et toi ? On parle franais aujourd'hui ? :) __eou__ yeah schemas in /etc is a bad idea, will be fixed but not for warty __eou__ __eot__ oi, bitch! :p __eou__ weird, needed to nuke ~/.gnome2/session to get my icons and cursor theme again __eou__ __eot__ have you kept the faulty one ? __eou__ __eot__ /usr/share/control-center-2.0/capplets/vino-properties.desktop has Icon=gnome-remote-desktop.png __eou__ __eot__ have you started the session with gdm ? __eou__ __eot__ gtkhtml3.2 conflicts with gtkhtml3.1 __eou__ are you really sure you've fixed the gnome-settings-daemon problem?  nautilus is currently refusing to respond to a background change notification __eou__ __eot__ which problem ? __eou__ __eot__ ","well, nautilus wasn't reacting to any changes in the background (from the properties) dialog until it was killed and respawned __eou__",1
"oh, random point ... we're listed as FieldWave Ltd here __eou__ __eot__ Thanks. That's actually rather useful to know :) __eou__ __eot__ ",#? __eou__ Sub-process /usr/bin/dpkg returned an error code (1) __eou__,1
"on yer bike! __eou__ not even for gdmflexiserver xnest loving? __eou__ that is intentional. :-) __eou__ __eot__ no dude, i mean the white paper ones. __eou__ __eot__ ... oh?! __eou__ __eot__ turns out i preserved /home __eou__ rather then starting completely over. __eou__ __eot__ what do you think about adding current gnome-bluetooth foo to universe? __eou__ __eot__ ","vaguely shaky, as i didn't even upload it to sid... __eou__",1
"dude, stop slagging off our weather.  british weather is fun, it keeps you on your toes :) __eou__ dude, you went home! __eou__ __eot__ dude, yex __eou__ you're going to love it :) __eou__ __eot__ ",there is another cd burning patch for rhythmbox... __eou__,1
it's not clear from your emails etc. whether it's ok to talk in public about this? __eou__ __eot__ yeah __eou__ we'd kinda like to keep it quiet ;) __eou__ i've updated the FAQ page on the wiki __eou__ __eot__ ,i think that tutorial is outdated - very first instruction fails __eou__ and it differs slightly to what ubotu has to say __eou__,0
